USN,CollegeName,Result,Score,s1_name,s1_r,s1_f,s1_i,s1_t,s2_name,s2_r,s2_f,s2_i,s2_t,s3_name,s3_r,s3_f,s3_i,s3_t,s4_name,s4_r,s4_f,s4_i,s4_t,s5_name,s5_r,s5_f,s5_i,s5_t
M1610807, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,FAIL,31.86,SOFTWARE PRACTICES AND TESTING ,Fail,Ab.,8,8,BUSINESS INTELLIGENCE ,Fail,Ab.,8,8,J2EE ,Fail,Ab.,8,8,J2EE AND SOFTWARE TESTING LABORATORY,Fail,Ab.,4,4,PROJECT AND VIVA VOCE ,Pass,160,35,195
M1610808, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,81.43,SOFTWARE PRACTICES AND TESTING ,Pass,52,16,68,BUSINESS INTELLIGENCE ,Pass,60,18,78,J2EE ,Pass,68,20,88,J2EE AND SOFTWARE TESTING LABORATORY,Pass,76,18,94,PROJECT AND VIVA VOCE ,Pass,215,49,264
M1610809, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,FAIL,41.57,SOFTWARE PRACTICES AND TESTING ,Pass,34,8,42,BUSINESS INTELLIGENCE ,Fail,16,8,24,J2EE ,Pass,32,8,40,J2EE AND SOFTWARE TESTING LABORATORY,Pass,33,11,44,PROJECT AND VIVA VOCE ,Pass,115,26,141
M1610810, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,74.7,SOFTWARE PRACTICES AND TESTING ,Pass,66,16,82,BUSINESS INTELLIGENCE ,Pass,60,17,77,J2EE ,Pass,41,19,60,J2EE AND SOFTWARE TESTING LABORATORY,Pass,70,18,88,PROJECT AND VIVA VOCE ,Pass,195,48,243
M1610811, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,FAIL,68.29,SOFTWARE PRACTICES AND TESTING ,Pass,50,16,66,BUSINESS INTELLIGENCE ,Pass,54,20,74,J2EE ,Fail,21,18,39,J2EE AND SOFTWARE TESTING LABORATORY,Pass,79,20,99,PROJECT AND VIVA VOCE ,Pass,150,50,200
M1610812, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,81.89,SOFTWARE PRACTICES AND TESTING ,Pass,57,15,72,BUSINESS INTELLIGENCE ,Pass,65,16,81,J2EE ,Pass,48,19,67,J2EE AND SOFTWARE TESTING LABORATORY,Pass,75,13,88,PROJECT AND VIVA VOCE ,Pass,224,48,272
M1610813, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,1ST C,63.22,SOFTWARE PRACTICES AND TESTING ,Pass,41,12,53,BUSINESS INTELLIGENCE ,Pass,47,12,59,J2EE ,Pass,38,16,54,J2EE AND SOFTWARE TESTING LABORATORY,Pass,49,12,61,PROJECT AND VIVA VOCE ,Pass,204,45,249
M1610814, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,43,11,54,BUSINESS INTELLIGENCE ,Pass,41,17,58,J2EE ,Pass,32,15,47,J2EE AND SOFTWARE TESTING LABORATORY,Pass,58,15,73,PROJECT AND VIVA VOCE ,Pass,204,47,251
M1610815, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,71.32,SOFTWARE PRACTICES AND TESTING ,Pass,57,16,73,BUSINESS INTELLIGENCE ,Pass,63,17,80,J2EE ,Pass,36,19,55,J2EE AND SOFTWARE TESTING LABORATORY,Pass,40,18,58,PROJECT AND VIVA VOCE ,Pass,195,48,243
M1610816, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,85.78,SOFTWARE PRACTICES AND TESTING ,Pass,75,19,94,BUSINESS INTELLIGENCE ,Pass,75,20,95,J2EE ,Pass,72,14,86,J2EE AND SOFTWARE TESTING LABORATORY,Pass,75,15,90,PROJECT AND VIVA VOCE ,Pass,229,54,283
M1610817, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,51,11,62,BUSINESS INTELLIGENCE ,Pass,46,8,54,J2EE ,Pass,36,15,51,J2EE AND SOFTWARE TESTING LABORATORY,Pass,53,12,65,PROJECT AND VIVA VOCE ,Pass,200,45,245
M1610818, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,78.62,SOFTWARE PRACTICES AND TESTING ,Pass,66,14,80,BUSINESS INTELLIGENCE ,Pass,70,14,84,J2EE ,Pass,53,18,71,J2EE AND SOFTWARE TESTING LABORATORY,Pass,70,18,88,PROJECT AND VIVA VOCE ,Pass,215,45,260
M1610819, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,48,12,60,BUSINESS INTELLIGENCE ,Pass,66,13,79,J2EE ,Pass,36,12,48,J2EE AND SOFTWARE TESTING LABORATORY,Pass,65,15,80,PROJECT AND VIVA VOCE ,Pass,224,50,274
M1610820, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,73.84,SOFTWARE PRACTICES AND TESTING ,Pass,43,12,55,BUSINESS INTELLIGENCE ,Pass,47,15,62,J2EE ,Pass,43,17,60,J2EE AND SOFTWARE TESTING LABORATORY,Pass,68,14,82,PROJECT AND VIVA VOCE ,Pass,224,48,272
M1610821, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,70.65,SOFTWARE PRACTICES AND TESTING ,Pass,64,14,78,BUSINESS INTELLIGENCE ,Pass,54,15,69,J2EE ,Pass,41,18,59,J2EE AND SOFTWARE TESTING LABORATORY,Pass,69,16,85,PROJECT AND VIVA VOCE ,Pass,225,49,274
M1610822, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,1ST C,63.86,SOFTWARE PRACTICES AND TESTING ,Pass,58,15,73,BUSINESS INTELLIGENCE ,Pass,47,10,57,J2EE ,Pass,32,14,46,J2EE AND SOFTWARE TESTING LABORATORY,Pass,64,14,78,PROJECT AND VIVA VOCE ,Pass,185,48,233
M1610823, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,73.95,SOFTWARE PRACTICES AND TESTING ,Pass,63,15,78,BUSINESS INTELLIGENCE ,Pass,58,18,76,J2EE ,Pass,45,18,63,J2EE AND SOFTWARE TESTING LABORATORY,Pass,70,15,85,PROJECT AND VIVA VOCE ,Pass,217,48,265
M1610824, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,1ST C,68.43,SOFTWARE PRACTICES AND TESTING ,Pass,42,11,53,BUSINESS INTELLIGENCE ,Pass,42,11,53,J2EE ,Pass,34,10,44,J2EE AND SOFTWARE TESTING LABORATORY,Pass,73,14,87,PROJECT AND VIVA VOCE ,Pass,207,48,255
M1610825, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,43,11,54,BUSINESS INTELLIGENCE ,Pass,49,9,58,J2EE ,Pass,32,8,40,J2EE AND SOFTWARE TESTING LABORATORY,Pass,77,15,92,PROJECT AND VIVA VOCE ,Pass,207,48,255
M1610826, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,1ST C,67.7,SOFTWARE PRACTICES AND TESTING ,Pass,43,9,52,BUSINESS INTELLIGENCE ,Pass,32,9,41,J2EE ,Pass,32,9,41,J2EE AND SOFTWARE TESTING LABORATORY,Pass,49,12,61,PROJECT AND VIVA VOCE ,Pass,189,42,231
M1610827, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,1ST C,68.78,SOFTWARE PRACTICES AND TESTING ,Pass,49,13,62,BUSINESS INTELLIGENCE ,Pass,71,12,83,J2EE ,Pass,49,18,67,J2EE AND SOFTWARE TESTING LABORATORY,Pass,66,14,80,PROJECT AND VIVA VOCE ,Pass,224,45,269
M1610828, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,71,SOFTWARE PRACTICES AND TESTING ,Pass,55,10,65,BUSINESS INTELLIGENCE ,Pass,54,10,64,J2EE ,Pass,52,10,62,J2EE AND SOFTWARE TESTING LABORATORY,Pass,70,13,83,PROJECT AND VIVA VOCE ,Pass,213,49,262
M1610829, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,35,8,43,BUSINESS INTELLIGENCE ,Pass,43,8,51,J2EE ,Pass,41,8,49,J2EE AND SOFTWARE TESTING LABORATORY,Pass,50,4,54,PROJECT AND VIVA VOCE ,Pass,193,40,233
M1610830, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,1ST C,62.7,SOFTWARE PRACTICES AND TESTING ,Pass,42,8,50,BUSINESS INTELLIGENCE ,Pass,34,8,42,J2EE ,Pass,32,9,41,J2EE AND SOFTWARE TESTING LABORATORY,Pass,57,5,62,PROJECT AND VIVA VOCE ,Pass,184,49,233
M1610831, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,83.65,SOFTWARE PRACTICES AND TESTING ,Pass,65,15,80,BUSINESS INTELLIGENCE ,Pass,58,19,77,J2EE ,Pass,64,16,80,J2EE AND SOFTWARE TESTING LABORATORY,Pass,68,11,79,PROJECT AND VIVA VOCE ,Pass,211,55,266
M1610832, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,40,15,55,BUSINESS INTELLIGENCE ,Pass,43,15,58,J2EE ,Pass,41,16,57,J2EE AND SOFTWARE TESTING LABORATORY,Pass,47,15,62,PROJECT AND VIVA VOCE ,Pass,235,58,293
M1610833, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,85,SOFTWARE PRACTICES AND TESTING ,Pass,70,16,86,BUSINESS INTELLIGENCE ,Pass,68,17,85,J2EE ,Pass,70,13,83,J2EE AND SOFTWARE TESTING LABORATORY,Pass,74,18,92,PROJECT AND VIVA VOCE ,Pass,227,50,277
M1610835, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,81.46,SOFTWARE PRACTICES AND TESTING ,Pass,71,14,85,BUSINESS INTELLIGENCE ,Pass,63,17,80,J2EE ,Pass,59,20,79,J2EE AND SOFTWARE TESTING LABORATORY,Pass,77,19,96,PROJECT AND VIVA VOCE ,Pass,209,49,258
M1610836, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,FAIL,69,SOFTWARE PRACTICES AND TESTING ,Pass,43,9,52,BUSINESS INTELLIGENCE ,Pass,58,10,68,J2EE ,Fail,20,14,34,J2EE AND SOFTWARE TESTING LABORATORY,Pass,72,14,86,PROJECT AND VIVA VOCE ,Pass,198,45,243
M1610838, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,79.24,SOFTWARE PRACTICES AND TESTING ,Pass,61,18,79,BUSINESS INTELLIGENCE ,Pass,62,20,82,J2EE ,Pass,41,18,59,J2EE AND SOFTWARE TESTING LABORATORY,Pass,76,20,96,PROJECT AND VIVA VOCE ,Pass,150,60,210
M1610839, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,53,8,61,BUSINESS INTELLIGENCE ,Pass,49,9,58,J2EE ,Pass,40,9,49,J2EE AND SOFTWARE TESTING LABORATORY,Pass,37,4,41,PROJECT AND VIVA VOCE ,Pass,184,38,222
M1610840, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,78.95,SOFTWARE PRACTICES AND TESTING ,Pass,61,17,78,BUSINESS INTELLIGENCE ,Pass,54,16,70,J2EE ,Pass,48,14,62,J2EE AND SOFTWARE TESTING LABORATORY,Pass,69,19,88,PROJECT AND VIVA VOCE ,Pass,204,48,252
M1610841, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,78.54,SOFTWARE PRACTICES AND TESTING ,Pass,50,13,63,BUSINESS INTELLIGENCE ,Pass,56,15,71,J2EE ,Pass,56,16,72,J2EE AND SOFTWARE TESTING LABORATORY,Pass,75,17,92,PROJECT AND VIVA VOCE ,Pass,225,55,280
M1610843, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,81.95,SOFTWARE PRACTICES AND TESTING ,Pass,61,15,76,BUSINESS INTELLIGENCE ,Pass,49,19,68,J2EE ,Pass,60,19,79,J2EE AND SOFTWARE TESTING LABORATORY,Pass,73,17,90,PROJECT AND VIVA VOCE ,Pass,217,46,263
M1610844, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,50,10,60,BUSINESS INTELLIGENCE ,Pass,36,10,46,J2EE ,Pass,48,12,60,J2EE AND SOFTWARE TESTING LABORATORY,Pass,48,5,53,PROJECT AND VIVA VOCE ,Pass,194,42,236
M1610845, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,FAIL,53.57,SOFTWARE PRACTICES AND TESTING ,Pass,40,8,48,BUSINESS INTELLIGENCE ,Fail,15,8,23,J2EE ,Fail,23,8,31,J2EE AND SOFTWARE TESTING LABORATORY,Pass,32,12,44,PROJECT AND VIVA VOCE ,Pass,189,40,229
M1610846, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,76.08,SOFTWARE PRACTICES AND TESTING ,Pass,64,13,77,BUSINESS INTELLIGENCE ,Pass,51,11,62,J2EE ,Pass,48,18,66,J2EE AND SOFTWARE TESTING LABORATORY,Pass,68,17,85,PROJECT AND VIVA VOCE ,Pass,185,48,233
M1610847, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,78.41,SOFTWARE PRACTICES AND TESTING ,Pass,67,15,82,BUSINESS INTELLIGENCE ,Pass,52,17,69,J2EE ,Pass,45,19,64,J2EE AND SOFTWARE TESTING LABORATORY,Pass,71,14,85,PROJECT AND VIVA VOCE ,Pass,225,51,276
M1610848, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,71.73,SOFTWARE PRACTICES AND TESTING ,Pass,50,12,62,BUSINESS INTELLIGENCE ,Pass,47,13,60,J2EE ,Pass,32,18,50,J2EE AND SOFTWARE TESTING LABORATORY,Pass,65,16,81,PROJECT AND VIVA VOCE ,Pass,224,49,273
M1610849, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,1ST C,63.92,SOFTWARE PRACTICES AND TESTING ,Pass,41,12,53,BUSINESS INTELLIGENCE ,Pass,41,15,56,J2EE ,Pass,32,13,45,J2EE AND SOFTWARE TESTING LABORATORY,Pass,44,6,50,PROJECT AND VIVA VOCE ,Pass,213,49,262
M1610850, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,FAIL,3.71,SOFTWARE PRACTICES AND TESTING ,Fail,Ab.,4,4,BUSINESS INTELLIGENCE ,Fail,Ab.,4,4,J2EE ,Fail,Ab.,4,4,J2EE AND SOFTWARE TESTING LABORATORY,Fail,Ab.,4,4,PROJECT AND VIVA VOCE ,Fail,Ab.,10,10
M1610851, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,88.49,SOFTWARE PRACTICES AND TESTING ,Pass,59,18,77,BUSINESS INTELLIGENCE ,Pass,64,19,83,J2EE ,Pass,68,18,86,J2EE AND SOFTWARE TESTING LABORATORY,Pass,76,18,94,PROJECT AND VIVA VOCE ,Pass,225,56,281
M1610852, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,76.89,SOFTWARE PRACTICES AND TESTING ,Pass,57,14,71,BUSINESS INTELLIGENCE ,Pass,75,17,92,J2EE ,Pass,56,17,73,J2EE AND SOFTWARE TESTING LABORATORY,Pass,68,8,76,PROJECT AND VIVA VOCE ,Pass,215,53,268
M1610853, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,1ST C,68.95,SOFTWARE PRACTICES AND TESTING ,Pass,43,17,60,BUSINESS INTELLIGENCE ,Pass,69,19,88,J2EE ,Pass,37,17,54,J2EE AND SOFTWARE TESTING LABORATORY,Pass,46,16,62,PROJECT AND VIVA VOCE ,Pass,214,52,266
M1610854, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,91.11,SOFTWARE PRACTICES AND TESTING ,Pass,67,20,87,BUSINESS INTELLIGENCE ,Pass,72,20,92,J2EE ,Pass,69,20,89,J2EE AND SOFTWARE TESTING LABORATORY,Pass,78,20,98,PROJECT AND VIVA VOCE ,Pass,238,59,297
M1610855, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,89,SOFTWARE PRACTICES AND TESTING ,Pass,65,19,84,BUSINESS INTELLIGENCE ,Pass,71,20,91,J2EE ,Pass,54,20,74,J2EE AND SOFTWARE TESTING LABORATORY,Pass,79,19,98,PROJECT AND VIVA VOCE ,Pass,238,56,294
M1610856, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,76.22,SOFTWARE PRACTICES AND TESTING ,Pass,62,15,77,BUSINESS INTELLIGENCE ,Pass,67,18,85,J2EE ,Pass,38,17,55,J2EE AND SOFTWARE TESTING LABORATORY,Pass,74,16,90,PROJECT AND VIVA VOCE ,Pass,205,49,254
M1610857, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,FAIL,40.86,SOFTWARE PRACTICES AND TESTING ,Pass,47,12,59,BUSINESS INTELLIGENCE ,Pass,47,13,60,J2EE ,Pass,35,13,48,J2EE AND SOFTWARE TESTING LABORATORY,Pass,32,11,43,PROJECT AND VIVA VOCE ,Fail,50,26,76
M1610858, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,86.95,SOFTWARE PRACTICES AND TESTING ,Pass,70,12,82,BUSINESS INTELLIGENCE ,Pass,73,18,91,J2EE ,Pass,70,18,88,J2EE AND SOFTWARE TESTING LABORATORY,Pass,75,16,91,PROJECT AND VIVA VOCE ,Pass,215,50,265
M1610859, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,91.49,SOFTWARE PRACTICES AND TESTING ,Pass,57,19,76,BUSINESS INTELLIGENCE ,Pass,73,20,93,J2EE ,Pass,70,20,90,J2EE AND SOFTWARE TESTING LABORATORY,Pass,80,19,99,PROJECT AND VIVA VOCE ,Pass,238,59,297
M1610860, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,1ST C,65.24,SOFTWARE PRACTICES AND TESTING ,Pass,32,11,43,BUSINESS INTELLIGENCE ,Pass,51,13,64,J2EE ,Pass,32,16,48,J2EE AND SOFTWARE TESTING LABORATORY,Pass,64,15,79,PROJECT AND VIVA VOCE ,Pass,180,48,228
M1610862, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,72.35,SOFTWARE PRACTICES AND TESTING ,Pass,52,16,68,BUSINESS INTELLIGENCE ,Pass,62,16,78,J2EE ,Pass,51,17,68,J2EE AND SOFTWARE TESTING LABORATORY,Pass,67,18,85,PROJECT AND VIVA VOCE ,Pass,209,50,259
M1610863, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,FAIL,57.43,SOFTWARE PRACTICES AND TESTING ,Pass,34,9,43,BUSINESS INTELLIGENCE ,Pass,43,10,53,J2EE ,Fail,19,9,28,J2EE AND SOFTWARE TESTING LABORATORY,Pass,59,4,63,PROJECT AND VIVA VOCE ,Pass,174,41,215
M1610864, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,34,8,42,BUSINESS INTELLIGENCE ,Pass,40,12,52,J2EE ,Pass,32,11,43,J2EE AND SOFTWARE TESTING LABORATORY,Pass,51,4,55,PROJECT AND VIVA VOCE ,Pass,211,48,259
M1610865, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,2ND C,57.49,SOFTWARE PRACTICES AND TESTING ,Pass,34,8,42,BUSINESS INTELLIGENCE ,Pass,32,15,47,J2EE ,Pass,40,9,49,J2EE AND SOFTWARE TESTING LABORATORY,Pass,59,5,64,PROJECT AND VIVA VOCE ,Pass,175,42,217
M1610866, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,80.92,SOFTWARE PRACTICES AND TESTING ,Pass,68,14,82,BUSINESS INTELLIGENCE ,Pass,60,17,77,J2EE ,Pass,52,19,71,J2EE AND SOFTWARE TESTING LABORATORY,Pass,72,16,88,PROJECT AND VIVA VOCE ,Pass,201,49,250
M1610867, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,85.19,SOFTWARE PRACTICES AND TESTING ,Pass,68,17,85,BUSINESS INTELLIGENCE ,Pass,53,17,70,J2EE ,Pass,53,20,73,J2EE AND SOFTWARE TESTING LABORATORY,Pass,74,19,93,PROJECT AND VIVA VOCE ,Pass,238,59,297
M1610868, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,73.24,SOFTWARE PRACTICES AND TESTING ,Pass,40,10,50,BUSINESS INTELLIGENCE ,Pass,49,13,62,J2EE ,Pass,46,11,57,J2EE AND SOFTWARE TESTING LABORATORY,Pass,64,14,78,PROJECT AND VIVA VOCE ,Pass,211,40,251
M1610869, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,DISTI,86.76,SOFTWARE PRACTICES AND TESTING ,Pass,73,17,90,BUSINESS INTELLIGENCE ,Pass,77,17,94,J2EE ,Pass,75,20,95,J2EE AND SOFTWARE TESTING LABORATORY,Pass,76,18,94,PROJECT AND VIVA VOCE ,Pass,238,59,297
M1610870, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,1ST C,64.27,SOFTWARE PRACTICES AND TESTING ,Pass,55,10,65,BUSINESS INTELLIGENCE ,Pass,53,11,64,J2EE ,Pass,55,15,70,J2EE AND SOFTWARE TESTING LABORATORY,Pass,69,12,81,PROJECT AND VIVA VOCE ,Pass,199,41,240
M1610871, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,46,9,55,BUSINESS INTELLIGENCE ,Pass,48,10,58,J2EE ,Pass,32,10,42,J2EE AND SOFTWARE TESTING LABORATORY,Pass,32,11,43,PROJECT AND VIVA VOCE ,Pass,209,48,257
M1610872, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,FAIL,64.57,SOFTWARE PRACTICES AND TESTING ,Pass,35,11,46,BUSINESS INTELLIGENCE ,Pass,32,12,44,J2EE ,Fail,20,12,32,J2EE AND SOFTWARE TESTING LABORATORY,Pass,66,12,78,PROJECT AND VIVA VOCE ,Pass,209,43,252
M1610873, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,FAIL,52.57,SOFTWARE PRACTICES AND TESTING ,Pass,32,8,40,BUSINESS INTELLIGENCE ,Pass,32,12,44,J2EE ,Fail,20,10,30,J2EE AND SOFTWARE TESTING LABORATORY,Pass,42,8,50,PROJECT AND VIVA VOCE ,Pass,170,34,204
M1610874, College : 4233  -  PES COLLEGE OF CORPORATE SECRETARYSHIP  BELAGAVI,1ST C,64,SOFTWARE PRACTICES AND TESTING ,Pass,50,9,59,BUSINESS INTELLIGENCE ,Pass,57,11,68,J2EE ,Pass,42,17,59,J2EE AND SOFTWARE TESTING LABORATORY,Pass,70,13,83,PROJECT AND VIVA VOCE ,Pass,184,49,233
M1611001, College : 4241  -  JAIN COLLEGE OF BBA  BCA AND COMMERCE  BELAGAVI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,42,9,51,BUSINESS INTELLIGENCE ,Pass,33,9,42,J2EE ,Pass,32,9,41,J2EE AND SOFTWARE TESTING LABORATORY,Pass,32,13,45,PROJECT AND VIVA VOCE ,Pass,130,40,170
M1611001, College : 4241  -  JAIN COLLEGE OF BBA  BCA AND COMMERCE  BELAGAVI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,42,9,51,BUSINESS INTELLIGENCE ,Pass,33,9,42,J2EE ,Pass,32,9,41,J2EE AND SOFTWARE TESTING LABORATORY,Pass,32,13,45,PROJECT AND VIVA VOCE ,Pass,130,40,170
M1611002, College : 4241  -  JAIN COLLEGE OF BBA  BCA AND COMMERCE  BELAGAVI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,33,9,42,BUSINESS INTELLIGENCE ,Pass,32,9,41,J2EE ,Pass,35,9,44,J2EE AND SOFTWARE TESTING LABORATORY,Pass,32,13,45,PROJECT AND VIVA VOCE ,Pass,130,45,175
M1611003, College : 4241  -  JAIN COLLEGE OF BBA  BCA AND COMMERCE  BELAGAVI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,33,11,44,BUSINESS INTELLIGENCE ,Pass,47,11,58,J2EE ,Pass,34,12,46,J2EE AND SOFTWARE TESTING LABORATORY,Pass,54,18,72,PROJECT AND VIVA VOCE ,Pass,150,47,197
M1611004, College : 4241  -  JAIN COLLEGE OF BBA  BCA AND COMMERCE  BELAGAVI,N.C.L,--   ,SOFTWARE PRACTICES AND TESTING ,Pass,43,14,57,BUSINESS INTELLIGENCE ,Pass,42,14,56,J2EE ,Pass,41,15,56,J2EE AND SOFTWARE TESTING LABORATORY,Pass,32,18,50,PROJECT AND VIVA VOCE ,Pass,160,47,207
M1611005, College : 4241  -  JAIN COLLEGE OF BBA  BCA AND COMMERCE  BELAGAVI,DISTI,71.59,SOFTWARE PRACTICES AND TESTING ,Pass,57,13,70,BUSINESS INTELLIGENCE ,Pass,58,13,71,J2EE ,Pass,55,14,69,J2EE AND SOFTWARE TESTING LABORATORY,Pass,52,19,71,PROJECT AND VIVA VOCE ,Pass,200,55,255
M1611006, College : 4241  -  JAIN COLLEGE OF BBA  BCA AND COMMERCE  BELAGAVI,FAIL,46.14,SOFTWARE PRACTICES AND TESTING ,Pass,32,9,41,BUSINESS INTELLIGENCE ,Fail,15,9,24,J2EE ,Pass,32,9,41,J2EE AND SOFTWARE TESTING LABORATORY,Pass,32,13,45,PROJECT AND VIVA VOCE ,Pass,130,42,172
